prct_cause_infra,retard_moyen_trains_retard_sup15,retard_moyen_tous_trains_arrivee,prct_cause_externe,nb_train_prevu,prct_cause_gestion_trafic,nb_train_retard_arrivee,nb_train_retard_sup_15,nb_annulation,prct_cause_prise_en_charge_voyageurs,gare_arrivee,retard_moyen_arrivee,nb_train_retard_sup_30,nb_train_retard_sup_60,service,nb_train_depart_retard,commentaires_retard_arrivee,prct_cause_gestion_gare,date,gare_depart,duree_moyenne,retard_moyen_depart,retard_moyen_tous_trains_depart,prct_cause_materiel_roulant
9.259259259,9.361411411,9.378309266,48.7654321,570,15.43209877,168,88,16,0.617283951,LILLE,28.45922619,47,19,National,178,"Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).",3.703703704,2018-02,PARIS NORD,68,15.05702247,4.851233454,22.22222222
32.69230769,12.04897611,12.04897611,30.76923077,296,9.615384615,67,64,3,5.769230769,LILLE,44.43731343,35,12,National,218,"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultats composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV.",3.846153846,2018-01,LYON PART DIEU,189,10.35810398,7.809613197,17.30769231
21.42857143,4.133274127,4.133274127,38.0952381,568,9.523809524,97,40,5,0.0,LILLE,21.02491409,15,6,National,98,,9.523809524,2018-01,PARIS NORD,64,8.828911565,1.499230314,21.42857143
35.48387097,10.79558559,10.79558559,32.25806452,187,9.677419355,37,37,2,6.451612903,LILLE,45.59459459,19,7,National,40,,3.225806452,2018-01,MARSEILLE ST CHARLES,307,8.270416667,1.778288288,12.90322581
17.64705882,39.57843137,16.47101449,35.29411765,58,29.41176471,17,17,12,0.0,LILLE,39.57843137,11,3,National,16,,0.0,2019-12,MARSEILLE ST CHARLES,280,10.83541667,3.454710145,17.64705882
11.9047619,53.51403509,-15.0986755,47.61904762,367,14.28571429,45,19,65,0.0,LILLE,27.6937037,10,7,National,285,,7.142857143,2019-12,PARIS NORD,82,12.54169591,11.81252759,19.04761905
21.05263158,35.04642857,13.75119048,31.57894737,62,31.57894737,19,14,20,0.0,LILLE,29.10087719,8,2,National,34,,5.263157895,2019-12,LYON PART DIEU,187,11.21421569,9.055555556,10.52631579
15.25423729,30.38104575,11.43624339,35.59322034,195,22.03389831,59,50,6,0.0,LILLE,27.79858757,15,3,National,162,,6.779661017,2019-11,LYON PART DIEU,186,9.969547325,8.522222222,20.33898305
10.86956522,30.75688406,10.94023669,43.47826087,171,19.56521739,46,46,2,0.0,LILLE,30.75688406,14,2,National,73,,8.695652174,2019-11,MARSEILLE ST CHARLES,284,3.955022831,1.471005917,17.39130435
27.61904762,29.31258503,3.618958333,22.85714286,577,10.47619048,106,50,17,2.857142857,LILLE,18.57610063,17,3,National,384,,11.42857143,2019-11,PARIS NORD,62,13.56289063,9.163214286,24.76190476
